id.site,transect_tot,transect_target,forb.no.site
M_ALT,30,20,20
M_ASE,59,31,45
M_BAD,60,41,40
M_BAL,47,23,29
M_BEE,34,25,26
M_BEN,31,23,21
M_BIR,62,45,40
M_BOD,41,23,27
M_BRA,60,45,41
M_BUH,57,50,39
M_CAL,37,25,25
M_CBE,22,13,15
M_DOB,66,50,44
M_DOR,39,26,26
M_EIC,27,20,16
M_FAL,40,30,29
M_FRB,72,50,51
M_GRO,41,22,23
M_HAH,41,34,26
M_HAI,67,49,41
M_HAR,43,32,30
M_HIR,50,40,29
M_HLI,56,43,32
M_HNB,62,43,34
M_HOH,53,30,36
M_ILB,42,33,28
M_JEP,47,37,35
M_JER,61,48,46
M_KAL,54,42,30
M_KAP,35,22,27
M_KIF,70,39,42
M_KOL,42,34,29
M_KOT,58,41,34
M_KUH,63,50,48
M_LOB,49,37,26
M_MOZ,57,51,38
M_NEL,50,29,33
M_NIS,64,40,36
M_PRA,54,30,38
M_SKF,51,41,35
M_SMH,36,25,23
M_SSB,64,54,46
M_SSL,53,42,33
M_STA,54,44,38
M_STF,63,37,48
M_STI,50,37,35
M_STN,87,63,66
M_STP,54,45,37
M_SUL,33,15,21
M_TAN,63,42,42
M_TRE,42,30,30
M_TRN,33,17,23
M_TTH,75,55,48
M_TTO,82,71,60
M_TTP,65,56,43
M_VOC,51,45,30
M_WDG,49,41,33
M_WED,36,27,25
M_WEF,39,28,17
M_WIM,48,39,33
M_WLE,29,22,17
M_WUG,57,39,32
M_WUM,68,44,42
M_WUN,30,23,20
M_WUP,73,49,46
M_WUR,57,42,35
N_AFE,47,35,34
N_ALA,56,44,29
N_ARE,50,37,30
N_BEB,27,18,14
N_BEN,23,20,15
N_BIT,39,30,23
N_BLE,51,37,33
N_BLU,43,30,23
N_BRD,67,51,39
N_BRE,55,50,32
N_BRO,46,39,28
N_BU1,43,37,25
N_BU2,50,33,32
N_CAM,25,23,14
N_CNI,44,36,29
N_DAM,22,16,10
N_DUM,42,41,18
N_EIC,34,31,23
N_ELB,26,22,15
N_FLA,20,18,9
N_GAM,37,26,20
N_GAR,29,26,13
N_GBI,72,53,48
N_GUT,61,46,37
N_HAI,25,22,10
N_HOH,45,33,27
N_HOR,45,30,29
N_HOY,28,19,18
N_ISE,34,27,19
N_JAS,45,37,18
N_KAP,45,38,19
N_KIR,43,38,17
N_KRI,31,24,18
N_LUB,41,28,28
N_MAU,40,32,21
N_MEC,22,16,13
N_MOO,57,40,45
N_NLG,28,24,9
N_OCH,68,40,45
N_OLE,16,12,8
N_PAN,35,31,17
N_PEV,64,50,38
N_PFE,35,29,17
N_RAD,39,35,17
N_RET,39,36,20
N_SCH,57,52,34
N_SMG,22,13,11
N_STA,41,29,23
N_STE,32,28,16
N_TAN,60,41,34
N_TAS,29,20,19
N_TRI,53,42,32
N_TUT,40,26,28
N_UET,32,25,22
N_VIE,44,37,24
N_VOG,38,27,20
N_WAL,70,51,36
N_WEN,47,40,29
N_WER,59,54,31
N_WIZ,59,41,38
N_ZDF,41,35,21
S_ACR,85,77,57
S_AFR,50,42,28
S_AMP,66,59,32
S_AUH,82,70,46
S_AUL,69,49,36
S_BUC,71,62,43
S_DIE,30,26,18
S_ECH,71,68,44
S_EIT,45,40,27
S_FCH,65,54,39
S_FHZ,62,52,30
S_GIG,100,79,57
S_GSH,50,40,30
S_GSR,50,39,29
S_GTZ,76,64,41
S_HBF,22,16,12
S_HGR,58,34,35
S_HLZ,75,66,40
S_HTH,118,76,73
S_HUB,75,63,42
S_JAN,30,24,18
S_JAU,46,38,23
S_JHB,55,49,32
S_JOS,54,44,31
S_KDT,98,73,54
S_KRT,106,77,62
S_LAP,91,51,57
S_LPI,87,71,52
S_MAS,60,51,30
S_MBM,86,66,55
S_MCH,70,50,39
S_MHH,69,56,35
S_MTK,45,44,27
S_NOZ,44,36,26
S_OST,119,90,69
S_OSW,62,52,37
S_PEI,46,39,26
S_PEN,47,39,22
S_POP,40,37,20
S_RUP,27,18,15
S_SBA,101,85,58
S_SBN,124,88,70
S_SHH,83,61,44
S_SIM,80,71,48
S_SNF,66,55,38
S_STB,83,72,44
S_STW,92,78,49
S_TIE,53,42,22
S_TRN,81,53,54
S_UKB,37,28,22
S_VIB,25,18,13
S_VLP,56,50,29
S_VLR,58,46,30
S_WGD,51,33,33
S_WLF,27,24,12
S_WNG,71,49,41
S_WNK,75,66,50
S_WTB,30,22,20
S_WTH,56,47,31
S_WTZ,58,47,32
