id.plot,name.plant,cf,TaxonRank,IsChildTaxonOf,remarks,cover.adapt.brbl,cover
M_ALT_A1,Alopecurus pratensis,no,SPE,Alopecurus,NA,1a,2
M_ALT_A1,Capsella bursa-pastoris,no,SPE,Capsella,NA,r,0.1
M_ALT_A1,Dactylis glomerata s. str.,no,SPE,Dactylis glomerata agg.,NA,2a,10
M_ALT_A1,Elymus repens s. str.,no,SPE,Elymus,NA,2a,10
M_ALT_A1,Festuca arundinacea,no,SPE,Festuca,NA,2b,20
M_ALT_A1,Festuca pratensis s. str.,no,SPE,Festuca pratensis s. l.,NA,+,0.5
M_ALT_A1,Lepidium draba,no,SPE,Lepidium,NA,2b,20
M_ALT_A1,Myosotis ramosissima,no,SPE,Myosotis,NA,r,0.1
M_ALT_A1,Poa angustifolia,no,SPE,Poa pratensis agg.,NA,1b,4
M_ALT_A1,Poa pratensis agg.,no,AGG,Poa,NA,1b,4
M_ALT_A1,Stellaria apetala,no,SPE,NA,NA,r,0.1
M_ALT_A1,Valerianella locusta,no,SPE,Valerianella,NA,+,0.5
M_ALT_A1,Veronica arvensis,no,SPE,Veronica,NA,r,0.1
M_ALT_A1,Vicia tetrasperma,no,SPE,Vicia tetrasperma agg.,NA,r,0.1
M_ALT_A2,Alopecurus pratensis,no,SPE,Alopecurus,NA,1a,2
M_ALT_A2,Arrhenatherum elatius,no,SPE,Arrhenatherum,NA,2b,20
M_ALT_A2,Cerastium holosteoides,no,SPE,Cerastium fontanum agg.,NA,r,0.1
M_ALT_A2,Dactylis glomerata s. str.,no,SPE,Dactylis glomerata agg.,NA,1b,4
M_ALT_A2,Elymus repens s. str.,no,SPE,Elymus,NA,1a,2
M_ALT_A2,Festuca arundinacea,no,SPE,Festuca,NA,2b,20
M_ALT_A2,Myosotis ramosissima,no,SPE,Myosotis,NA,+,0.5
M_ALT_A2,Poa angustifolia,no,SPE,Poa pratensis agg.,NA,1a,2
M_ALT_A2,Valerianella locusta,no,SPE,Valerianella,NA,1a,2
M_ALT_A2,Veronica arvensis,no,SPE,Veronica,NA,1a,2
M_ALT_A2,Vicia tetrasperma,no,SPE,Vicia tetrasperma agg.,NA,r,0.1
M_ALT_A3,Alopecurus pratensis,no,SPE,Alopecurus,NA,+,0.5
M_ALT_A3,Anthriscus sylvestris,no,SPE,Anthriscus sylvestris agg.,NA,r,0.1
M_ALT_A3,Arrhenatherum elatius,no,SPE,Arrhenatherum,NA,3,37.5
M_ALT_A3,Dactylis glomerata s. str.,no,SPE,Dactylis glomerata agg.,NA,1a,2
M_ALT_A3,Draba verna s. str.,no,SPE,Draba verna agg.,NA,r,0.1
M_ALT_A3,Elymus repens s. str.,no,SPE,Elymus,NA,1b,4
M_ALT_A3,Festuca arundinacea,no,SPE,Festuca,NA,3,37.5
M_ALT_A3,Galium mollugo agg.,no,AGG,Galium,aufgeschrieben als Galium album,1a,2
M_ALT_A3,Myosotis ramosissima,no,SPE,Myosotis,NA,r,0.1
M_ALT_A3,Poa angustifolia,no,SPE,Poa pratensis agg.,NA,2a,10
M_ALT_A3,Rumex acetosa,no,SPE,Rumex,NA,r,0.1
M_ALT_A3,Valerianella locusta,no,SPE,Valerianella,NA,1a,2
M_ALT_A3,Veronica arvensis,no,SPE,Veronica,NA,+,0.5
M_ALT_A4,Arrhenatherum elatius,no,SPE,Arrhenatherum,NA,2b,20
M_ALT_A4,Dactylis glomerata s. str.,no,SPE,Dactylis glomerata agg.,NA,2a,10
M_ALT_A4,Elymus repens s. str.,no,SPE,Elymus,NA,1a,2
M_ALT_A4,Festuca arundinacea,no,SPE,Festuca,NA,4,62.5
M_ALT_A4,Geranium pratense,no,SPE,Geranium,NA,r,0.1
M_ALT_A4,Myosotis ramosissima,no,SPE,Myosotis,NA,r,0.1
M_ALT_A4,Poa angustifolia,no,SPE,Poa pratensis agg.,NA,1b,4
M_ALT_A4,Rumex crispus,no,SPE,Rumex,NA,r,0.1
M_ALT_A4,Valerianella locusta,no,SPE,Valerianella,NA,2a,10
M_ALT_A4,Veronica arvensis,no,SPE,Veronica,NA,+,0.5
M_ALT_T,Cerastium glomeratum,no,SPE,Cerastium,NA,NA,NA
M_ALT_T,Heracleum sphondylium,no,SPE,Heracleum,NA,NA,NA
M_ALT_T,Linaria vulgaris,no,SPE,Linaria,NA,NA,NA
M_ALT_T,Ranunculus bulbosus,no,SPE,Ranunculus,NA,NA,NA
M_ALT_T,Senecio vernalis,no,SPE,Senecio,NA,NA,NA
M_ALT_T,Taraxacum sect. Ruderalia,no,SEC,Taraxacum,NA,NA,NA
M_ALT_T,Tragopogon pratensis s. l.,no,AGG,Tragopogon,NA,NA,NA
M_ALT_T,Trifolium dubium,no,SPE,Trifolium dubium agg.,NA,NA,NA
M_ALT_T,Vicia sativa agg.,no,AGG,Vicia,eingetragen als Vicia segetalis,NA,NA
M_ASE_A1,Achillea millefolium agg.,no,AGG,Achillea,NA,1a,2
M_ASE_A1,Alopecurus myosuroides,no,SPE,Alopecurus,NA,+,0.5
M_ASE_A1,Anthemis tinctoria,no,SPE,Anthemis tinctoria agg.,NA,+,0.5
M_ASE_A1,Anthoxanthum odoratum s. str.,no,SPE,Anthoxanthum odoratum agg.,NA,+,0.5
M_ASE_A1,Arrhenatherum elatius,no,SPE,Arrhenatherum,NA,2a,10
M_ASE_A1,Bromus erectus,no,SPE,Bromus,NA,3,37.5
M_ASE_A1,Bromus sterilis,no,SPE,Bromus,NA,2a,10
M_ASE_A1,Centaurea jacea agg.,no,AGG,Centaurea,NA,1b,4
M_ASE_A1,Cerastium holosteoides,no,SPE,Cerastium fontanum agg.,NA,+,0.5
M_ASE_A1,Conium maculatum,no,SPE,Conium,NA,1a,2
M_ASE_A1,Crepis,no,GAT,Asteraceae,spec.,1a,2
M_ASE_A1,Cynosurus cristatus,no,SPE,Cynosurus,NA,r,0.1
M_ASE_A1,Dactylis glomerata s. str.,no,SPE,Dactylis glomerata agg.,NA,+,0.5
M_ASE_A1,Daucus carota,no,SPE,Daucus,NA,+,0.5
M_ASE_A1,Descurainia sophia,no,SPE,Descurainia,NA,1a,4
M_ASE_A1,Elymus repens s. str.,no,SPE,Elymus,NA,+,0.5
M_ASE_A1,Festuca rubra,no,SPE,Festuca rubra agg.,Eingetragen als Festuca nigrescens,+,0.5
M_ASE_A1,Galium mollugo agg.,no,AGG,Galium,aufgeschrieben als Galium album,1a,2
M_ASE_A1,Lactuca serriola,no,SPE,Lactuca,NA,r,0.1
M_ASE_A1,Leucanthemum vulgare agg.,no,AGG,Leucanthemum,NA,1a,2
M_ASE_A1,Medicago lupulina,no,SPE,Medicago,NA,+,0.5
M_ASE_A1,Onopordum acanthium,no,SPE,Onopordum,NA,+,0.5
M_ASE_A1,Papaver dubium s. l.,no,AGG,Papaver,NA,+,0.5
M_ASE_A1,Plantago lanceolata,no,SPE,Plantago,NA,1a,2
M_ASE_A1,Poa pratensis agg.,no,AGG,Poa,NA,2a,10
M_ASE_A1,Prunella vulgaris,no,SPE,Prunella,NA,+,0.5
M_ASE_A1,Sanguisorba minor s. l.,no,SPE,Sanguisorba,NA,1a,2
M_ASE_A1,Silene vulgaris,no,SPE,Silene,NA,1a,2
M_ASE_A1,Sisymbrium loeselii,no,SPE,Sisymbrium,NA,1a,2
M_ASE_A1,Sonchus asper,no,SPE,Sonchus,NA,r,0.1
M_ASE_A1,Stellaria media s. str.,no,SPE,Stellaria media agg.,Stellaria media agg.,1a,2
M_ASE_A1,Veronica arvensis,no,SPE,Veronica,NA,+,0.5
M_ASE_A1,Viola arvensis,no,SPE,Viola tricolor agg.,NA,+,0.5
M_ASE_A2,Alopecurus myosuroides,no,SPE,Alopecurus,NA,+,0.5
M_ASE_A2,Anthemis tinctoria,no,SPE,Anthemis tinctoria agg.,NA,2b,20
M_ASE_A2,Anthoxanthum odoratum s. str.,no,SPE,Anthoxanthum odoratum agg.,NA,+,0.5
M_ASE_A2,Arrhenatherum elatius,no,SPE,Arrhenatherum,NA,2a,10
M_ASE_A2,Bromus erectus,no,SPE,Bromus,NA,1a,2
M_ASE_A2,Bromus sterilis,no,SPE,Bromus,NA,2b,20
M_ASE_A2,Centaurea jacea agg.,no,AGG,Centaurea,NA,1b,4
M_ASE_A2,Crepis,no,GAT,Asteraceae,spec.,1b,4
M_ASE_A2,Dactylis glomerata s. str.,no,SPE,Dactylis glomerata agg.,NA,1b,4
M_ASE_A2,Daucus carota,no,SPE,Daucus,NA,1b,4
M_ASE_A2,Euphorbia helioscopia,no,SPE,Euphorbia,NA,+,0.5
M_ASE_A2,Festuca rubra,no,SPE,Festuca rubra agg.,NA,1b,4
M_ASE_A2,Galium mollugo agg.,no,AGG,Galium,aufgeschrieben als Galium album,r,0.1
M_ASE_A2,Geranium pusillum,no,SPE,Geranium,NA,r,0.1
M_ASE_A2,Knautia arvensis s. str.,no,SPE,Knautia arvensis agg.,NA,1a,2
M_ASE_A2,Lactuca serriola,no,SPE,Lactuca,NA,r,0.1
M_ASE_A2,Leucanthemum vulgare agg.,no,AGG,Leucanthemum,NA,r,0.1
M_ASE_A2,Plantago lanceolata,no,SPE,Plantago,NA,r,0.1
M_ASE_A2,Poa pratensis agg.,no,AGG,Poa,NA,2a,10
M_ASE_A2,Rumex crispus,no,SPE,Rumex,NA,1a,2
M_ASE_A2,Sanguisorba minor s. l.,no,SPE,Sanguisorba,NA,1a,2
M_ASE_A2,Silene vulgaris,no,SPE,Silene,NA,+,0.5
M_ASE_A2,Sisymbrium loeselii,no,SPE,Sisymbrium,NA,1a,2
M_ASE_A2,Stellaria media s. str.,no,SPE,Stellaria media agg.,Stellaria media agg.,+,0.5
M_ASE_A2,Veronica arvensis,no,SPE,Veronica,NA,r,0.1
M_ASE_A2,Viola arvensis,no,SPE,Viola tricolor agg.,NA,+,0.5
M_ASE_A3,Achillea millefolium agg.,no,AGG,Achillea,NA,1b,4
M_ASE_A3,Alopecurus myosuroides,no,SPE,Alopecurus,NA,1a,2
M_ASE_A3,Anthemis tinctoria,no,SPE,Anthemis tinctoria agg.,NA,1b,4
M_ASE_A3,Anthoxanthum odoratum s. str.,no,SPE,Anthoxanthum odoratum agg.,NA,1b,4
M_ASE_A3,Anthriscus caucalis,no,SPE,Anthriscus,NA,r,0.1
M_ASE_A3,Arrhenatherum elatius,no,SPE,Arrhenatherum,NA,2b,20
M_ASE_A3,Bromus erectus,no,SPE,Bromus,NA,1a,2
M_ASE_A3,Bromus sterilis,no,SPE,Bromus,NA,2a,10
M_ASE_A3,Carduus acanthoides,no,SPE,Carduus,NA,+,0.5
M_ASE_A3,Crepis,no,GAT,Asteraceae,spec.,1b,4
M_ASE_A3,Dactylis glomerata s. str.,no,SPE,Dactylis glomerata agg.,NA,1a,2
M_ASE_A3,Daucus carota,no,SPE,Daucus,NA,1b,4
M_ASE_A3,Erysimum cheiranthoides,no,SPE,Erysimum,NA,1a,2
M_ASE_A3,Falcaria vulgaris,no,SPE,Falcaria,NA,1a,2
M_ASE_A3,Festuca rubra,no,SPE,Festuca rubra agg.,NA,1a,2
M_ASE_A3,Galium aparine,no,SPE,Galium aparine agg.,NA,r,0.1
M_ASE_A3,Geranium pusillum,no,SPE,Geranium,NA,r,0.1
M_ASE_A3,Lappula squarrosa,no,SPE,Lappula,NA,+,0.5
M_ASE_A3,Leucanthemum vulgare agg.,no,AGG,Leucanthemum,NA,+,0.5
M_ASE_A3,Medicago lupulina,no,SPE,Medicago,NA,+,0.5
M_ASE_A3,Myosotis arvensis,no,SPE,Myosotis,NA,r,0.1
M_ASE_A3,Papaver rhoeas,no,SPE,Papaver,NA,+,0.5
M_ASE_A3,Plantago lanceolata,no,SPE,Plantago,NA,1a,2
M_ASE_A3,Poa pratensis agg.,no,AGG,Poa,NA,1b,4
M_ASE_A3,Sanguisorba minor s. l.,no,SPE,Sanguisorba,NA,1a,2
M_ASE_A3,Scabiosa,no,GAT,Caprifoliaceae,spec.,r,0.1
M_ASE_A3,Silene dioica,no,SPE,Silene,NA,+,0.5
M_ASE_A3,Silene vulgaris,no,SPE,Silene,NA,r,0.1
M_ASE_A3,Sisymbrium loeselii,no,SPE,Sisymbrium,NA,1a,2
M_ASE_A3,Stellaria media s. str.,no,SPE,Stellaria media agg.,Stellaria media agg.,+,0.5
M_ASE_A3,Veronica arvensis,no,SPE,Veronica,NA,r,0.1
M_ASE_A3,Viola arvensis,no,SPE,Viola tricolor agg.,NA,r,0.1
M_ASE_A4,Achillea millefolium agg.,no,AGG,Achillea,NA,1a,2
M_ASE_A4,Alopecurus myosuroides,no,SPE,Alopecurus,NA,r,0.1
M_ASE_A4,Anthemis tinctoria,no,SPE,Anthemis tinctoria agg.,NA,1a,2
M_ASE_A4,Anthoxanthum odoratum s. str.,no,SPE,Anthoxanthum odoratum agg.,NA,1b,4
M_ASE_A4,Arrhenatherum elatius,no,SPE,Arrhenatherum,NA,1b,4
M_ASE_A4,Bromus sterilis,no,SPE,Bromus,NA,2b,20
M_ASE_A4,Carduus acanthoides,no,SPE,Carduus,NA,r,0.1
M_ASE_A4,Centaurea jacea agg.,no,AGG,Centaurea,NA,1a,2
M_ASE_A4,Dactylis glomerata s. str.,no,SPE,Dactylis glomerata agg.,NA,1b,4
M_ASE_A4,Daucus carota,no,SPE,Daucus,NA,1a,2
M_ASE_A4,Euphorbia helioscopia,no,SPE,Euphorbia,NA,+,0.5
M_ASE_A4,Festuca rubra,no,SPE,Festuca rubra agg.,NA,+,0.5
M_ASE_A4,Galium mollugo agg.,no,AGG,Galium,aufgeschrieben als Galium album,1a,2
M_ASE_A4,Geranium pusillum,no,SPE,Geranium,NA,r,0.1
M_ASE_A4,Knautia arvensis s. str.,no,SPE,Knautia arvensis agg.,NA,r,0.1
M_ASE_A4,Leucanthemum vulgare agg.,no,AGG,Leucanthemum,NA,r,0.1
M_ASE_A4,Lotus corniculatus,no,SPE,Lotus corniculatus agg.,NA,+,0.5
M_ASE_A4,Medicago lupulina,no,SPE,Medicago,NA,+,0.5
M_ASE_A4,Plantago lanceolata,no,SPE,Plantago,NA,1a,2
M_ASE_A4,Poa pratensis agg.,no,AGG,Poa,NA,2b,20
M_ASE_A4,Sanguisorba minor s. l.,no,SPE,Sanguisorba,NA,1a,2
M_ASE_A4,Silene dioica,no,SPE,Silene,NA,+,0.5
M_ASE_A4,Silene vulgaris,no,SPE,Silene,NA,1a,2
M_ASE_A4,Sisymbrium loeselii,no,SPE,Sisymbrium,NA,1a,2
M_ASE_A4,Stellaria media s. str.,no,SPE,Stellaria media agg.,Stellaria media agg.,1a,2
M_ASE_A4,Veronica arvensis,no,SPE,Veronica,NA,1a,2
M_ASE_T,Alopecurus pratensis,no,SPE,Alopecurus,NA,NA,NA
M_ASE_T,Capsella bursa-pastoris,no,SPE,Capsella,NA,NA,NA
M_ASE_T,Erodium cicutarium s. str.,no,SPE,Erodium cicutarium agg.,stand vorher Erodium cicutarium agg.,NA,NA
M_ASE_T,Fumaria officinalis s. l.,no,AGG,Fumaria,stand s. str.,NA,NA
M_ASE_T,Holosteum umbellatum,no,SPE,Holosteum,NA,NA,NA
M_ASE_T,Plantago major agg.,no,AGG,Plantago,NA,NA,NA
M_ASE_T,Reseda lutea,no,SPE,Reseda,NA,NA,NA
M_ASE_T,Salvia pratensis,no,SPE,Salvia,NA,NA,NA
M_ASE_T,Taraxacum sect. Ruderalia,no,SEC,Taraxacum,NA,NA,NA
M_ASE_T,Trifolium pratense,no,SPE,Trifolium,NA,NA,NA
M_ASE_T,Tripleurospermum perforatum,no,SPE,Tripleurospermum maritimum agg.,NA,NA,NA
M_BAD_A1,Alyssum alyssoides,no,SPE,Alyssum,NA,1a,2
M_BAD_A1,Astragalus exscapus,no,SPE,Astragalus,NA,+,0.5
M_BAD_A1,Bromus sterilis,no,SPE,Bromus,NA,+,0.5
M_BAD_A1,Bupleurum falcatum,no,SPE,Bupleurum,NA,r,0.1
M_BAD_A1,Centaurea stoebe s. l.,no,AGG,Centaurea paniculata agg.,ändern in s. str?,+,0.5
M_BAD_A1,Cerastium,no,GAT,Caryophyllaceae,NA,+,0.5
M_BAD_A1,Cornus sanguinea,no,SPE,Cornus,NA,+,0.5
M_BAD_A1,Erodium cicutarium s. str.,no,SPE,Erodium cicutarium agg.,a,r,0.1
M_BAD_A1,Festuca csikhegyensis,no,SPE,Festuca ovina agg.,NA,r,0.1
M_BAD_A1,Festuca ovina agg.,no,AG1,Festuca,NA,1a,2
M_BAD_A1,Festuca rupicola,no,SPE,Festuca ovina agg.,NA,r,0.1
M_BAD_A1,Festuca valesiaca s. l.,no,AGG,Festuca ovina agg.,NA,+,0.5
M_BAD_A1,Hieracium pilosella,no,SPE,Hieracium subg. Pilosella,NA,r,0.1
M_BAD_A1,Medicago lupulina,no,SPE,Medicago,NA,+,0.5
M_BAD_A1,Potentilla heptaphylla,no,SPE,Potentilla,NA,1a,2
M_BAD_A1,Potentilla verna,no,SPE,Potentilla verna agg.,eingetragen als Potentilla neumanniana,r,0.1
M_BAD_A1,Prunus mahaleb,no,SPE,Prunus,NA,+,0.5
M_BAD_A1,Prunus spinosa s. str.,no,SPE,Prunus spinosa agg.,NA,1b,4
M_BAD_A1,Reseda lutea,no,SPE,Reseda,NA,r,0.1
M_BAD_A1,Sanguisorba minor s. l.,no,SPE,Sanguisorba,NA,+,0.5
M_BAD_A1,Seseli hippomarathrum,no,SPE,Seseli,NA,1a,2
M_BAD_A1,Sonchus oleraceus,no,SPE,Sonchus,NA,r,0.1
M_BAD_A1,Teucrium chamaedrys,no,SPE,Teucrium,NA,2a,10
M_BAD_A1,Tragopogon dubius,yes,SPE,Tragopogon,cf,r,0.1
M_BAD_A2,Alyssum alyssoides,no,SPE,Alyssum,NA,r,0.1
M_BAD_A2,Asperula cynanchica,no,SPE,Asperula,NA,+,0.5
M_BAD_A2,Astragalus exscapus,no,SPE,Astragalus,NA,1b,4
M_BAD_A2,Brachypodium pinnatum,no,SPE,Brachypodium pinnatum agg.,NA,1a,2
M_BAD_A2,Bupleurum falcatum,no,SPE,Bupleurum,NA,r,0.1
M_BAD_A2,Centaurea stoebe s. l.,no,AGG,Centaurea paniculata agg.,ändern in s. str?,r,0.1
M_BAD_A2,Crataegus,no,GAT,Rosaceae,NA,1a,2
M_BAD_A2,Euphorbia cyparissias,no,SPE,Euphorbia,NA,+,0.5
M_BAD_A2,Festuca csikhegyensis,no,SPE,Festuca ovina agg.,NA,+,0.5
M_BAD_A2,Festuca ovina agg.,no,AG1,Festuca,NA,2a,10
M_BAD_A2,Festuca rupicola,no,SPE,Festuca ovina agg.,NA,1a,2
M_BAD_A2,Fragaria viridis,no,SPE,Fragaria,NA,r,0.1
M_BAD_A2,Hieracium pilosella,no,SPE,Hieracium subg. Pilosella,NA,r,0.1
M_BAD_A2,Koeleria macrantha,no,SPE,Koeleria pyramidata agg.,NA,+,0.5
M_BAD_A2,Medicago lupulina,no,SPE,Medicago,NA,r,0.1
M_BAD_A2,Potentilla heptaphylla,no,SPE,Potentilla,NA,1b,4
M_BAD_A2,Potentilla verna,no,SPE,Potentilla verna agg.,eingetragen als Potentilla neumanniana,+,0.5
M_BAD_A2,Rosa,no,GAT,Rosaceae,spec.,1a,2
M_BAD_A2,Sanguisorba minor s. l.,no,SPE,Sanguisorba,NA,+,0.5
M_BAD_A2,Seseli hippomarathrum,no,SPE,Seseli,NA,+,0.5
M_BAD_A2,Teucrium chamaedrys,no,SPE,Teucrium,NA,2b,20
M_BAD_A2,Thymus praecox,no,SPE,Thymus,NA,+,0.5
M_BAD_A3,Asperula cynanchica,no,SPE,Asperula,NA,+,0.5
M_BAD_A3,Astragalus exscapus,no,SPE,Astragalus,NA,1b,4
M_BAD_A3,Brachypodium pinnatum,no,SPE,Brachypodium pinnatum agg.,NA,1a,2
M_BAD_A3,Bromus erectus,no,SPE,Bromus,NA,+,0.5
M_BAD_A3,Bupleurum falcatum,no,SPE,Bupleurum,NA,+,0.5
M_BAD_A3,Carlina vulgaris s. str.,no,SPE,Carlina vulgaris agg.,NA,r,0.1
M_BAD_A3,Cirsium acaulon,no,SPE,Cirsium,(-1a),1b,4
M_BAD_A3,Crataegus,no,GAT,Rosaceae,spec.,1b,4
M_BAD_A3,Daucus carota,no,SPE,Daucus,NA,r,0.1
M_BAD_A3,Euphorbia cyparissias,no,SPE,Euphorbia,NA,+,0.5
M_BAD_A3,Festuca ovina agg.,no,AG1,Festuca,NA,2a,10
M_BAD_A3,Festuca rupicola,no,SPE,Festuca ovina agg.,NA,1a,2
M_BAD_A3,Fragaria viridis,no,SPE,Fragaria,NA,1a,2
M_BAD_A3,Hieracium pilosella,no,SPE,Hieracium subg. Pilosella,NA,1b,4
M_BAD_A3,Koeleria macrantha,no,SPE,Koeleria pyramidata agg.,NA,+,0.5
M_BAD_A3,Linum catharticum,no,SPE,Linum,NA,+,0.5
M_BAD_A3,Orchis purpurea,no,SPE,Orchis,NA,1b,4
M_BAD_A3,Potentilla heptaphylla,no,SPE,Potentilla,NA,2a,10
M_BAD_A3,Prunus spinosa s. str.,no,SPE,Prunus spinosa agg.,NA,1a,2
M_BAD_A3,Rosa,no,GAT,Rosaceae,spec.,1b,4
M_BAD_A3,Sanguisorba minor s. l.,no,SPE,Sanguisorba,NA,1a,2
M_BAD_A3,Teucrium chamaedrys,no,SPE,Teucrium,NA,1b,4
M_BAD_A3,Thymus praecox,no,SPE,Thymus,NA,+,0.5
M_BAD_A4,Achillea millefolium agg.,no,AGG,Achillea,NA,r,0.1
M_BAD_A4,Achillea pannonica,no,SPE,Achillea millefolium agg.,NA,r,0.1
M_BAD_A4,Agrimonia eupatoria,no,SPE,Agrimonia,NA,+,0.5
M_BAD_A4,Astragalus danicus,no,SPE,Astragalus,NA,+,0.5
M_BAD_A4,Astragalus exscapus,no,SPE,Astragalus,NA,+,0.5
M_BAD_A4,Brachypodium pinnatum,no,SPE,Brachypodium pinnatum agg.,NA,1b,4
M_BAD_A4,Bromus erectus,no,SPE,Bromus,NA,+,0.5
M_BAD_A4,Bupleurum falcatum,no,SPE,Bupleurum,NA,+,0.5
M_BAD_A4,Cornus sanguinea,no,SPE,Cornus,NA,1a,2
M_BAD_A4,Crataegus,no,GAT,Rosaceae,spec.,1a,2
M_BAD_A4,Euphorbia cyparissias,no,SPE,Euphorbia,NA,1a,2
M_BAD_A4,Falcaria vulgaris,no,SPE,Falcaria,NA,r,0.1
M_BAD_A4,Festuca ovina agg.,no,AG1,Festuca,NA,1a,2
M_BAD_A4,Festuca rupicola,no,SPE,Festuca ovina agg.,NA,+,0.5
M_BAD_A4,Fragaria viridis,no,SPE,Fragaria,NA,2a,10
M_BAD_A4,Galium verum s. str.,no,SPE,Galium verum agg.,NA,+,0.5
M_BAD_A4,Hippocrepis comosa,no,SPE,Hippocrepis,NA,r,0.1
M_BAD_A4,Koeleria macrantha,no,SPE,Koeleria pyramidata agg.,NA,+,0.5
M_BAD_A4,Ligustrum vulgare,no,SPE,Ligustrum,NA,1a,2
M_BAD_A4,Medicago lupulina,no,SPE,Medicago,NA,r,0.1
M_BAD_A4,Orchis purpurea,no,SPE,Orchis,Purpur-Knabenkraut,1a,2
M_BAD_A4,Potentilla heptaphylla,no,SPE,Potentilla,NA,+,0.5
M_BAD_A4,Potentilla verna,no,SPE,Potentilla verna agg.,eingetragen als Potentilla neumanniana,r,0.1
M_BAD_A4,Prunus,no,GAT,Rosaceae,spec.,1a,2
M_BAD_A4,Rosa,no,GAT,Rosaceae,spec.,1b,4
M_BAD_A4,Sanguisorba minor s. l.,no,SPE,Sanguisorba,NA,1a,2
