id.site,name.plant,cf,TaxonRank,IsChildTaxonOf,cover.mean
M_ALT,Alopecurus pratensis,no,SPE,Alopecurus,1.125
M_ALT,Anthriscus sylvestris,no,SPE,Anthriscus sylvestris agg.,0.025
M_ALT,Arrhenatherum elatius,no,SPE,Arrhenatherum,19.375
M_ALT,Capsella bursa-pastoris,no,SPE,Capsella,0.025
M_ALT,Cerastium holosteoides,no,SPE,Cerastium fontanum agg.,0.025
M_ALT,Dactylis glomerata s. str.,no,SPE,Dactylis glomerata agg.,6.5
M_ALT,Draba verna s. str.,no,SPE,Draba verna agg.,0.025
M_ALT,Elymus repens s. str.,no,SPE,Elymus,4.5
M_ALT,Festuca arundinacea,no,SPE,Festuca,35
M_ALT,Festuca pratensis s. str.,no,SPE,Festuca pratensis s. l.,0.125
M_ALT,Galium mollugo agg.,no,AGG,Galium,0.5
M_ALT,Geranium pratense,no,SPE,Geranium,0.025
M_ALT,Lepidium draba,no,SPE,Lepidium,5
M_ALT,Myosotis ramosissima,no,SPE,Myosotis,0.2
M_ALT,Poa angustifolia,no,SPE,Poa pratensis agg.,5
M_ALT,Poa pratensis agg.,no,AGG,Poa,1
M_ALT,Rumex acetosa,no,SPE,Rumex,0.025
M_ALT,Rumex crispus,no,SPE,Rumex,0.025
M_ALT,Stellaria apetala,no,SPE,NA,0.025
M_ALT,Valerianella locusta,no,SPE,Valerianella,3.625
M_ALT,Veronica arvensis,no,SPE,Veronica,0.775
M_ALT,Vicia tetrasperma,no,SPE,Vicia tetrasperma agg.,0.05
M_ASE,Achillea millefolium agg.,no,AGG,Achillea,2
M_ASE,Alopecurus myosuroides,no,SPE,Alopecurus,0.775
M_ASE,Anthemis tinctoria,no,SPE,Anthemis tinctoria agg.,6.625
M_ASE,Anthoxanthum odoratum s. str.,no,SPE,Anthoxanthum odoratum agg.,2.25
M_ASE,Anthriscus caucalis,no,SPE,Anthriscus,0.025
M_ASE,Arrhenatherum elatius,no,SPE,Arrhenatherum,11
M_ASE,Bromus erectus,no,SPE,Bromus,10.375
M_ASE,Bromus sterilis,no,SPE,Bromus,15
M_ASE,Carduus acanthoides,no,SPE,Carduus,0.15
M_ASE,Centaurea jacea agg.,no,AGG,Centaurea,2.5
M_ASE,Cerastium holosteoides,no,SPE,Cerastium fontanum agg.,0.125
M_ASE,Conium maculatum,no,SPE,Conium,0.5
M_ASE,Crepis,no,GAT,Asteraceae,2.5
M_ASE,Cynosurus cristatus,no,SPE,Cynosurus,0.025
M_ASE,Dactylis glomerata s. str.,no,SPE,Dactylis glomerata agg.,2.625
M_ASE,Daucus carota,no,SPE,Daucus,2.625
M_ASE,Descurainia sophia,no,SPE,Descurainia,1
M_ASE,Elymus repens s. str.,no,SPE,Elymus,0.125
M_ASE,Erysimum cheiranthoides,no,SPE,Erysimum,0.5
M_ASE,Euphorbia helioscopia,no,SPE,Euphorbia,0.25
M_ASE,Falcaria vulgaris,no,SPE,Falcaria,0.5
M_ASE,Festuca rubra,no,SPE,Festuca rubra agg.,1.75
M_ASE,Galium aparine,no,SPE,Galium aparine agg.,0.025
M_ASE,Galium mollugo agg.,no,AGG,Galium,1.025
M_ASE,Geranium pusillum,no,SPE,Geranium,0.07500000000000001
M_ASE,Knautia arvensis s. str.,no,SPE,Knautia arvensis agg.,0.525
M_ASE,Lactuca serriola,no,SPE,Lactuca,0.05
M_ASE,Lappula squarrosa,no,SPE,Lappula,0.125
M_ASE,Leucanthemum vulgare agg.,no,AGG,Leucanthemum,0.675
M_ASE,Lotus corniculatus,no,SPE,Lotus corniculatus agg.,0.125
M_ASE,Medicago lupulina,no,SPE,Medicago,0.375
M_ASE,Myosotis arvensis,no,SPE,Myosotis,0.025
M_ASE,Onopordum acanthium,no,SPE,Onopordum,0.125
M_ASE,Papaver dubium s. l.,no,AGG,Papaver,0.125
M_ASE,Papaver rhoeas,no,SPE,Papaver,0.125
M_ASE,Plantago lanceolata,no,SPE,Plantago,1.525
M_ASE,Poa pratensis agg.,no,AGG,Poa,11
M_ASE,Prunella vulgaris,no,SPE,Prunella,0.125
M_ASE,Rumex crispus,no,SPE,Rumex,0.5
M_ASE,Sanguisorba minor s. l.,no,SPE,Sanguisorba,2
M_ASE,Scabiosa,no,GAT,Caprifoliaceae,0.025
M_ASE,Silene dioica,no,SPE,Silene,0.25
M_ASE,Silene vulgaris,no,SPE,Silene,1.15
M_ASE,Sisymbrium loeselii,no,SPE,Sisymbrium,2
M_ASE,Sonchus asper,no,SPE,Sonchus,0.025
M_ASE,Stellaria media s. str.,no,SPE,Stellaria media agg.,1.25
M_ASE,Veronica arvensis,no,SPE,Veronica,0.675
M_ASE,Viola arvensis,no,SPE,Viola tricolor agg.,0.275
M_BAD,Achillea millefolium agg.,no,AGG,Achillea,0.025
M_BAD,Achillea pannonica,no,SPE,Achillea millefolium agg.,0.025
M_BAD,Agrimonia eupatoria,no,SPE,Agrimonia,0.125
M_BAD,Alyssum alyssoides,no,SPE,Alyssum,0.525
M_BAD,Asperula cynanchica,no,SPE,Asperula,0.25
M_BAD,Astragalus danicus,no,SPE,Astragalus,0.125
M_BAD,Astragalus exscapus,no,SPE,Astragalus,2.25
M_BAD,Brachypodium pinnatum,no,SPE,Brachypodium pinnatum agg.,2
M_BAD,Bromus erectus,no,SPE,Bromus,0.25
M_BAD,Bromus sterilis,no,SPE,Bromus,0.125
M_BAD,Bupleurum falcatum,no,SPE,Bupleurum,0.3
M_BAD,Carlina vulgaris s. str.,no,SPE,Carlina vulgaris agg.,0.025
M_BAD,Centaurea stoebe s. l.,no,AGG,Centaurea paniculata agg.,0.15
M_BAD,Cerastium,no,GAT,Caryophyllaceae,0.125
M_BAD,Cirsium acaulon,no,SPE,Cirsium,1
M_BAD,Cornus sanguinea,no,SPE,Cornus,0.625
M_BAD,Crataegus,no,GAT,Rosaceae,2
M_BAD,Daucus carota,no,SPE,Daucus,0.025
M_BAD,Erodium cicutarium s. str.,no,SPE,Erodium cicutarium agg.,0.025
M_BAD,Euphorbia cyparissias,no,SPE,Euphorbia,0.75
M_BAD,Falcaria vulgaris,no,SPE,Falcaria,0.025
M_BAD,Festuca csikhegyensis,no,SPE,Festuca ovina agg.,0.15
M_BAD,Festuca ovina agg.,no,AG1,Festuca,6
M_BAD,Festuca rupicola,no,SPE,Festuca ovina agg.,1.15
M_BAD,Festuca valesiaca s. l.,no,AGG,Festuca ovina agg.,0.125
