id.site,site.type,hydrology,region,fg.ratio,fg.ratio.std,rest.meth,land.use.hist,rest.age,rest.age.std,cover.grass,cover.forbs,cover.legumes,tot.hill.0,tot.hill.1,target.hill.0,target.hill.1,fcsi.hill.0
M_ALT,negative,moist,centre,0.183,-0.8555051007579456,NA,NA,NA,NA,64.5,11.75,0.05,21,5.688228662883306,14,4.340188682236613,2.6479462770325046
M_ASE,restored,fresh,centre,0.564,-0.42110054581110323,res,arable land,2,-1.0246206383809016,56.75,31.25,0.75,48,17.473639692980914,25,12.521133602399196,3.220541104187262
M_BAD,restored,dry,centre,3.221,2.6083296444612336,mga,grassland,5,-0.6618041500361889,10.75,32.25,2.375,42,16.91442561807495,30,12.396475248556484,3.403758202523829
M_BAL,negative,fresh,centre,0.567,-0.4176800375044352,NA,NA,NA,NA,48.75,25,2.625,31,10.270704754902928,19,5.600553362817865,2.9484793887034453
M_BEE,restored,fresh,centre,0.43,-0.5738832501756094,cus,arable land,25,1.7569724389285628,58.75,25,0.25,20,7.626230156745512,17,8.18687743878867,2.847812143477369
M_BEN,restored,fresh,centre,0.202,-0.8338418814823811,res,arable land,2,-1.0246206383809016,33,6.25,0.4,20,7.807325286408949,18,7.018686454807371,2.908720896564361
M_BIR,positive,fresh,centre,0.915,-0.020901073930941264,NA,NA,NA,NA,50,38.75,7,45,18.886753322146365,36,16.82101885613381,3.586292865338835
M_BOD,negative,fresh,centre,0.511,-0.4815295258955721,NA,NA,NA,NA,54.75,13.25,14.75,24,8.471017817759831,18,7.21770087040032,2.8982769374032777
M_BRA,restored,dry,centre,1.579,0.7361714312782538,res,arable land,10,-0.05711000279500098,36.25,25,32.25,38,10.527115864072345,31,8.898384907773448,3.4380113547848716
M_BUH,restored,fresh,centre,2.261,1.5137669863274574,res,arable land,3,-0.903681808932664,28.75,48.75,16.25,49,14.45780977034361,45,13.832315256650835,3.8110970868381857
M_CAL,restored,fresh,centre,1.673,0.8433473582205194,res,arable land,6,-0.5408653205879513,27.5,41.75,4.25,27,10.8287286247153,19,9.9818836644433,2.9502698994772336
M_CBE,negative,fresh,centre,0.198,-0.8384025592246053,NA,NA,NA,NA,65.75,13,0,18,5.9123251013833125,13,4.904294802833336,2.5776883832389665
M_DOB,restored,dry,centre,3.029,2.389417112834478,res,arable land,6,-0.5408653205879513,17.5,35,18,52,20.329996005505755,44,19.49869083946603,3.786711703350971
M_DOR,restored,fresh,centre,0.4,-0.60808833324229,cus,arable land,27,1.9988500978250379,45,16.25,1.75,25,7.466780051571021,20,4.974570421681989,3.004031076368686
M_EIC,negative,fresh,centre,0.929,-0.004938701833157017,NA,NA,NA,NA,43.75,11.75,28.875,16,7.994534087936983,11,5.095158596689987,2.412933150162911
M_FAL,restored,fresh,centre,1.129,0.22309518527804628,res,arable land,6,-0.5408653205879513,43.75,48.75,0.625,28,10.70153916269698,24,9.068739904969862,3.186352633162641
M_FRB,restored,dry,centre,1.188,0.2903651819758512,mga,grassland,14,0.42664531499794933,41.25,32.5,16.5,52,15.747462105050843,40,13.57376729434612,3.69080068429183
M_GRO,restored,fresh,centre,0.31,-0.7107035824423314,cus,arable land,26,1.8779112683768002,50.75,7.5,8.25,30,5.502643726022036,15,3.6830475189990177,2.7122082112508736
M_HAH,positive,dry,centre,0.987,0.061191125429091886,NA,NA,NA,NA,27.5,27,0.15,28,10.747274107826566,26,9.99720727886572,3.270835563798912
M_HAI,restored,fresh,centre,0.444,-0.5579208780778252,mga,grassland,11,0.0638288266532366,51.25,17.5,5.25,37,17.37256565776405,29,13.125396800530163,3.3711199264248775
