name.original,family,url,name.plant,name.dummy,sla,height,seedmass,flowering.start,growth.form.1,growth.form.2,nitrogen.fix,oek.l,oek.t,oek.k,oek.f,oek.f.change,oek.n,oek.r,oek.s,lf.leb,mahdvertra,weidevertr,trittvertr,futterwert,sociology,legal,status,neobiota,rlg,responsibility,funct.group.x,R11.Diagnostic,R16.Diagnostic,R1A.Diagnostic,R1B.Diagnostic,R1M.Diagnostic,R1P.Diagnostic,R21.Diagnostic,R22.Diagnostic,R35.Diagnostic,R36.Diagnostic,R37.Diagnostic,ffh.2330,ffh.6120,ffh.6210,ffh.6230,ffh.6240,ffh.6410,ffh.6440,ffh.6510,sh.feucht.naessezeiger,sh.trockenheitszeiger,sh.basenzeiger,sh.magerkeitszeiger,sh.ruderalisierungszeiger,sh.beweidungszeiger,sh.wert.gruenlandarten,sh.ausnahmearten.spp.wert.gruenlandarten,sh.nicht.wert.flutrasenarten,sh.calthion,sh.wiesenzeiger,btt.hh.GMG Kennzeichnende Arten,btt.hh.GMG Wertgebende Arten (RL-HH),btt.hh.GMM Kennzeichnende Arten,btt.hh.GMM Wertgebende Arten (RL-HH),btt.hh.GMT Kennzeichnende Arten,btt.hh.GMT Wertgebende Arten (RL-HH),btt.hh.GMW Kennzeichnende Arten,btt.hh.GMW Wertgebende Arten (RL-HH),btt.hh.GFA Kennzeichnende Arten,btt.hh.GFA Wertgebende Arten (RL-HH),btt.hh.GFR Kennzeichnende Arten,btt.hh.GFR Wertgebende Arten (RL-HH),btt.hh.GFC Kennzeichnende Arten,btt.hh.GFC Wertgebende Arten (RL-HH),btt.hh.GFF Kennzeichnende Arten,btt.hh.GFF Wertgebende Arten (RL-HH),btt.hh.GN Kennzeichnende Arten,btt.hh.GN Wertgebende Arten (RL-HH),btt.hh.GNP Kennzeichnende Arten,btt.hh.GNP Wertgebende Arten (RL-HH),hh.gl.typical,hh.gl.F.zeiger,hh.gl.N.zeiger,hh.gl.R.zeiger,nie.gn.gf.kennarten,btt.nie.9.1 GM weithin verbreitete Grünlandarten,btt.nie.9.1 GM Kennarten für Grünland mit weiter Standortamplitude,btt.nie.9.1.1 GMF Zusätzliche Kennarten,btt.nie.9.1.3 GMA Zusätzliche Kennarten,btt.nie.9.1.4 GMK Zusätzliche Kennarten,btt.nie.9.3. GN Kennzeichnende Pflanzenarten,btt.nie.9.4.1 GFB Kennarten,btt.nie.9.4.2 GFF Kennarten,btt.nie.9.4.3 GFS Kennarten,lsa.nasswiesen,bv.§30.borstgrasrasen,bv.art23.pfeifengraswiesen,bv.§30.nasswiesen,bv.gruenland.feucht,bv.gruenland.frisch,bv.§30.trockenrasen,btt.bv.GL Typische Arten,btt.bv.GA Typische Arten,btt.bv.GL6120* Typische Arten,btt.bv.GN Typische Arten,btt.bv.GO6230* Typische Arten,btt.bv.GP6410 Typische Arten,btt.bv.GT und GT6210 Typische Arten,btt.bv.GT621P* Typische Arten,btt.bv.GT6240* Typische Arten,"btt.bv.GU, GU651E und GU651L Typische Arten",calth.sturm,funct.group.y,ruderal,target_ellenberg
Acer,Sapindaceae,https://www.worldfloraonline.org/taxon/wfo-4000000188,Acer,Acer,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,wood,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,wood,NA,NA
Acer campestre,Sapindaceae,https://www.worldfloraonline.org/taxon/wfo-0000514040,Acer campestre,Acer campestre,145.37,13.658,0.0887823385,Apr,tree,NA,NA,5,6,4,5,NA,6,7,0,P,NA,NA,NA,NA,8410,NA,I,NA,*,NA,wood,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,wood,no,no
Acer platanoides,Sapindaceae,https://www.worldfloraonline.org/taxon/wfo-0000514884,Acer platanoides,Acer platanoides,196.55,21.25,0.137714779333333,Apr,tree,tree,NA,4,6,4,NA,NA,NA,NA,0,P,NA,NA,NA,NA,8434,NA,I,NA,*,NA,wood,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,wood,no,no
Acer pseudoplatanus,Sapindaceae,https://www.worldfloraonline.org/taxon/wfo-0000514908,Acer pseudoplatanus,Acer pseudoplatanus,166.8,21.9333333333333,0.0946594776,NA,tree,tree,no,4,NA,4,6,NA,7,NA,0,P,NA,NA,NA,NA,8434,NA,I,NA,*,!,wood,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,wood,no,no
Achillea millefolium,Asteraceae,https://www.worldfloraonline.org/taxon/wfo-0000042097,Achillea millefolium,Achillea millefolium,189.35,0.65375,1.79285e-4,NA,herb,NA,no,8,NA,NA,4,NA,5,NA,1,"H,C",NA,NA,NA,NA,5420,NA,I,NA,*,NA,herb,NA,NA,NA,NA,NA,NA,NA,17.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,herb,no,arrhenatheretalia
Achillea millefolium agg.,Asteraceae,https://www.worldfloraonline.org/taxon/wfo-0000042097,Achillea millefolium agg.,Achillea millefolium,189.35,0.65375,1.79285e-4,NA,herb,NA,no,8,NA,NA,4,NA,5,NA,1,"H,C",NA,NA,NA,NA,5420,NA,I,NA,*,nb,herb,NA,NA,NA,NA,NA,NA,NA,17.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,herb,no,arrhenatheretalia
Achillea pannonica,Asteraceae,https://www.worldfloraonline.org/taxon/wfo-0000123783,Achillea pannonica,Achillea pannonica,80.75,0.45,1.415e-4,Jun,herb,forb,NA,7,7,6,3,NA,2,6,0,H,NA,NA,NA,NA,5213,NA,I,NA,V,NA,herb,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,herb,no,sedo-scleranthetea
Achillea ptarmica,Asteraceae,https://www.worldfloraonline.org/taxon/wfo-0000033807,Achillea ptarmica,Achillea ptarmica,162.96,0.5875,2.625e-4,Jul,herb,NA,NA,8,6,3,8,NA,2,4,0,H,NA,NA,NA,NA,5410,NA,I,NA,*,NA,herb,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,1,F,A,NA,1,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,herb,no,molinietalia
Acinos arvensis,Lamiaceae,https://www.worldfloraonline.org/taxon/wfo-0000320080,Acinos arvensis,Acinos arvensis,192.38,0.2,5.596e-4,Jun,herb,forb,no,9,6,3,2,NA,1,5,0,"C,T",NA,NA,NA,NA,5200,NA,I,NA,V,NA,herb,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,T,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,herb,no,sedo-scleranthetea
Adonis vernalis,Ranunculaceae,https://www.worldfloraonline.org/taxon/wfo-0000521287,Adonis vernalis,Adonis vernalis,153.1,0.225,0.0106,Apr,herb,forb,NA,7,6,7,3,NA,2,7,0,H,NA,NA,NA,NA,5312,b,I,NA,3,?,herb,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,herb,no,festuco-brometea
