id.site,name.plant,name.plant.agg,cover.mean,cover.mean.agg,target.species,target.species.agg,cf,TaxonRank,IsChildTaxonOf,r.all.diagnostic,ffh.lrt,calth.btt,rlg,funct.group
M_CBE,Lamium purpureum s. str.,Lamium purpureum s. str.,1.025,1.025,0,0,yes,SPE,Lamium,0,0,0,NA,herb
M_DOB,Festuca rupicola,Festuca ovina agg.,7,7.125,1,1,yes,SPE,Festuca ovina agg.,0,1,0,V,grass
M_HAI,Festuca rubra,Festuca rubra agg.,10,10,1,1,yes,SPE,Festuca rubra agg.,1,1,0,*,grass
M_HLI,Crepis biennis,Crepis biennis,0.15,0.15,1,1,yes,SPE,Crepis,1,1,0,*,herb
M_KIF,Festuca brevipila,Festuca ovina agg.,15.375,16.375,1,1,no,SPE,Festuca ovina agg.,1,1,0,*,grass
M_KOL,Festuca rupicola,Festuca ovina agg.,1.625,12.125,1,1,no,SPE,Festuca ovina agg.,0,1,0,V,grass
M_STN,Microthlaspi perfoliatum,Microthlaspi perfoliatum,0.175,0.175,1,1,no,SPE,Microthlaspi,0,1,0,*,herb
M_WEF,Carex acutiformis,Carex acutiformis,5,5,1,1,no,SPE,Carex,0,0,1,*,grass
M_WEF,Carex praecox agg.,Carex praecox agg.,1.625,1.625,1,1,no,AGG,Carex,0,1,0,V,grass
M_WEF,Poa pratensis agg.,Poa pratensis agg.,1.125,1.125,1,1,no,AGG,Poa,1,1,0,*,grass
M_WUG,Carex vulpina agg.,Carex vulpina agg.,0.25,0.25,1,1,yes,AGG,Carex,0,1,1,*,grass
M_WUM,Mentha aquatica,Mentha aquatica,0.625,0.625,1,1,yes,SPE,Mentha,0,0,1,*,herb
N_DUM,Juncus acutiflorus,Juncus acutiflorus,3,3,1,1,yes,SPE,Juncus,1,1,1,*,grass
S_STB,Juncus conglomeratus,Juncus conglomeratus,4.125,4.125,1,1,yes,SPE,Juncus,0,1,1,*,grass
S_STW,Carex panicea,Carex panicea,3.025,3.025,1,1,yes,SPE,Carex,1,1,1,V,grass
S_STW,Eleocharis uniglumis,Eleocharis palustris agg.,0.05,0.05,1,1,no,SPE,Eleocharis palustris agg.,0,1,0,V,grass
M_ALT,Alopecurus pratensis,Alopecurus pratensis,1.125,1.125,1,1,no,SPE,Alopecurus,1,1,0,*,grass
M_ALT,Anthriscus sylvestris,Anthriscus sylvestris agg.,0.025,0.025,0,0,no,SPE,Anthriscus sylvestris agg.,0,0,0,*,herb
M_ALT,Arrhenatherum elatius,Arrhenatherum elatius,19.375,19.375,1,1,no,SPE,Arrhenatherum,1,1,0,*,grass
M_ALT,Capsella bursa-pastoris,Capsella bursa-pastoris,0.025,0.025,0,0,no,SPE,Capsella,0,0,0,*,herb
M_ALT,Cerastium holosteoides,Cerastium fontanum agg.,0.025,0.025,1,1,no,SPE,Cerastium fontanum agg.,1,1,0,*,herb
M_ALT,Dactylis glomerata s. str.,Dactylis glomerata agg.,6.5,6.5,1,1,no,SPE,Dactylis glomerata agg.,0,1,0,NA,grass
M_ALT,Draba verna s. str.,Draba verna agg.,0.025,0.025,1,1,no,SPE,Draba verna agg.,0,1,0,NA,herb
M_ALT,Elymus repens s. str.,Elymus repens s. str.,4.5,4.5,0,0,no,SPE,Elymus,0,0,0,NA,grass
M_ALT,Festuca arundinacea,Festuca arundinacea,35,35,0,0,no,SPE,Festuca,0,0,0,*,grass
M_ALT,Festuca pratensis s. str.,Festuca pratensis s. str.,0.125,0.125,1,1,no,SPE,Festuca pratensis s. l.,0,1,0,NA,grass
M_ALT,Galium mollugo agg.,Galium mollugo agg.,0.5,0.5,0,1,no,AGG,Galium,0,0,0,*,herb
M_ALT,Geranium pratense,Geranium pratense,0.025,0.025,1,1,no,SPE,Geranium,0,1,0,*,herb
M_ALT,Lepidium draba,Lepidium draba,5,5,0,0,no,SPE,Lepidium,0,0,0,nb,herb
M_ALT,Myosotis ramosissima,Myosotis ramosissima,0.2,0.2,1,1,no,SPE,Myosotis,0,1,0,*,herb
M_ALT,Poa angustifolia,Poa pratensis agg.,5,6,1,1,no,SPE,Poa pratensis agg.,0,1,0,*,grass
M_ALT,Poa pratensis agg.,Poa pratensis agg.,1,6,1,1,no,AGG,Poa,1,1,0,*,grass
M_ALT,Rumex acetosa,Rumex acetosa,0.025,0.025,1,1,no,SPE,Rumex,1,1,0,*,herb
M_ALT,Rumex crispus,Rumex crispus,0.025,0.025,1,1,no,SPE,Rumex,1,0,0,*,herb
M_ALT,Stellaria apetala,Stellaria media agg.,0.025,0.025,0,0,no,SPE,Stellaria media agg.,0,0,0,*,herb
M_ALT,Valerianella locusta,Valerianella locusta,3.625,3.625,1,1,no,SPE,Valerianella,0,1,0,*,herb
M_ALT,Veronica arvensis,Veronica arvensis,0.775,0.775,1,1,no,SPE,Veronica,0,1,0,*,herb
M_ALT,Vicia tetrasperma,Vicia tetrasperma agg.,0.05,0.05,0,0,no,SPE,Vicia tetrasperma agg.,0,0,0,*,legume
M_ASE,Achillea millefolium agg.,Achillea millefolium agg.,2,2,1,1,no,AGG,Achillea,1,1,0,*,herb
M_ASE,Alopecurus myosuroides,Alopecurus myosuroides,0.775,0.775,0,0,no,SPE,Alopecurus,0,0,0,*,grass
M_ASE,Anthemis tinctoria,Anthemis tinctoria agg.,6.625,6.625,1,1,no,SPE,Anthemis tinctoria agg.,0,1,0,*,herb
M_ASE,Anthoxanthum odoratum s. str.,Anthoxanthum odoratum agg.,2.25,2.25,1,1,no,SPE,Anthoxanthum odoratum agg.,0,1,0,NA,grass
M_ASE,Anthriscus caucalis,Anthriscus caucalis,0.025,0.025,0,0,no,SPE,Anthriscus,0,0,0,*,herb
M_ASE,Arrhenatherum elatius,Arrhenatherum elatius,11,11,1,1,no,SPE,Arrhenatherum,1,1,0,*,grass
M_ASE,Bromus erectus,Bromus erectus,10.375,10.375,1,1,no,SPE,Bromus,0,1,0,*,grass
M_ASE,Bromus sterilis,Bromus sterilis,15,15,0,0,no,SPE,Bromus,0,0,0,*,grass
M_ASE,Carduus acanthoides,Carduus acanthoides,0.15,0.15,0,0,no,SPE,Carduus,0,0,0,*,herb
M_ASE,Centaurea jacea agg.,Centaurea jacea agg.,2.5,2.5,1,1,no,AGG,Centaurea,0,1,0,*,herb
M_ASE,Cerastium holosteoides,Cerastium fontanum agg.,0.125,0.125,1,1,no,SPE,Cerastium fontanum agg.,1,1,0,*,herb
M_ASE,Conium maculatum,Conium maculatum,0.5,0.5,0,0,no,SPE,Conium,0,0,0,*,herb
M_ASE,Crepis,Crepis,2.5,2.5,0,0,no,GAT,Asteraceae,0,0,0,NA,herb
M_ASE,Cynosurus cristatus,Cynosurus cristatus,0.025,0.025,1,1,no,SPE,Cynosurus,1,1,0,*,grass
M_ASE,Dactylis glomerata s. str.,Dactylis glomerata agg.,2.625,2.625,1,1,no,SPE,Dactylis glomerata agg.,0,1,0,NA,grass
M_ASE,Daucus carota,Daucus carota,2.625,2.625,1,1,no,SPE,Daucus,0,1,0,*,herb
