id.plot,id.site,name.plant,name.plant.agg,target.species,target.species.agg,cf,TaxonRank,IsChildTaxonOf,cover,r.all.diagnostic,ffh.lrt,calth.btt,rlg,funct.group
M_ALT_A1,M_ALT,Alopecurus pratensis,Alopecurus pratensis,1,1,no,SPE,Alopecurus,2,1,1,0,*,grass
M_ALT_A1,M_ALT,Capsella bursa-pastoris,Capsella bursa-pastoris,0,0,no,SPE,Capsella,0.1,0,0,0,*,herb
M_ALT_A1,M_ALT,Dactylis glomerata s. str.,Dactylis glomerata agg.,1,1,no,SPE,Dactylis glomerata agg.,10,0,1,0,NA,grass
M_ALT_A1,M_ALT,Elymus repens s. str.,Elymus repens s. str.,0,0,no,SPE,Elymus,10,0,0,0,NA,grass
M_ALT_A1,M_ALT,Festuca arundinacea,Festuca arundinacea,0,0,no,SPE,Festuca,20,0,0,0,*,grass
M_ALT_A1,M_ALT,Festuca pratensis s. str.,Festuca pratensis s. str.,1,1,no,SPE,Festuca pratensis s. l.,0.5,0,1,0,NA,grass
M_ALT_A1,M_ALT,Lepidium draba,Lepidium draba,0,0,no,SPE,Lepidium,20,0,0,0,nb,herb
M_ALT_A1,M_ALT,Myosotis ramosissima,Myosotis ramosissima,1,1,no,SPE,Myosotis,0.1,0,1,0,*,herb
M_ALT_A1,M_ALT,Poa angustifolia,Poa pratensis agg.,1,1,no,SPE,Poa pratensis agg.,4,0,1,0,*,grass
M_ALT_A1,M_ALT,Poa pratensis agg.,Poa pratensis agg.,1,1,no,AGG,Poa,4,1,1,0,*,grass
M_ALT_A1,M_ALT,Stellaria apetala,Stellaria media agg.,0,0,no,SPE,Stellaria media agg.,0.1,0,0,0,*,herb
M_ALT_A1,M_ALT,Valerianella locusta,Valerianella locusta,1,1,no,SPE,Valerianella,0.5,0,1,0,*,herb
M_ALT_A1,M_ALT,Veronica arvensis,Veronica arvensis,1,1,no,SPE,Veronica,0.1,0,1,0,*,herb
M_ALT_A1,M_ALT,Vicia tetrasperma,Vicia tetrasperma agg.,0,0,no,SPE,Vicia tetrasperma agg.,0.1,0,0,0,*,legume
M_ALT_A2,M_ALT,Alopecurus pratensis,Alopecurus pratensis,1,1,no,SPE,Alopecurus,2,1,1,0,*,grass
M_ALT_A2,M_ALT,Arrhenatherum elatius,Arrhenatherum elatius,1,1,no,SPE,Arrhenatherum,20,1,1,0,*,grass
M_ALT_A2,M_ALT,Cerastium holosteoides,Cerastium fontanum agg.,1,1,no,SPE,Cerastium fontanum agg.,0.1,1,1,0,*,herb
M_ALT_A2,M_ALT,Dactylis glomerata s. str.,Dactylis glomerata agg.,1,1,no,SPE,Dactylis glomerata agg.,4,0,1,0,NA,grass
M_ALT_A2,M_ALT,Elymus repens s. str.,Elymus repens s. str.,0,0,no,SPE,Elymus,2,0,0,0,NA,grass
M_ALT_A2,M_ALT,Festuca arundinacea,Festuca arundinacea,0,0,no,SPE,Festuca,20,0,0,0,*,grass
M_ALT_A2,M_ALT,Myosotis ramosissima,Myosotis ramosissima,1,1,no,SPE,Myosotis,0.5,0,1,0,*,herb
M_ALT_A2,M_ALT,Poa angustifolia,Poa pratensis agg.,1,1,no,SPE,Poa pratensis agg.,2,0,1,0,*,grass
M_ALT_A2,M_ALT,Valerianella locusta,Valerianella locusta,1,1,no,SPE,Valerianella,2,0,1,0,*,herb
M_ALT_A2,M_ALT,Veronica arvensis,Veronica arvensis,1,1,no,SPE,Veronica,2,0,1,0,*,herb
M_ALT_A2,M_ALT,Vicia tetrasperma,Vicia tetrasperma agg.,0,0,no,SPE,Vicia tetrasperma agg.,0.1,0,0,0,*,legume
M_ALT_A3,M_ALT,Alopecurus pratensis,Alopecurus pratensis,1,1,no,SPE,Alopecurus,0.5,1,1,0,*,grass
M_ALT_A3,M_ALT,Anthriscus sylvestris,Anthriscus sylvestris agg.,0,0,no,SPE,Anthriscus sylvestris agg.,0.1,0,0,0,*,herb
M_ALT_A3,M_ALT,Arrhenatherum elatius,Arrhenatherum elatius,1,1,no,SPE,Arrhenatherum,37.5,1,1,0,*,grass
M_ALT_A3,M_ALT,Dactylis glomerata s. str.,Dactylis glomerata agg.,1,1,no,SPE,Dactylis glomerata agg.,2,0,1,0,NA,grass
M_ALT_A3,M_ALT,Draba verna s. str.,Draba verna agg.,1,1,no,SPE,Draba verna agg.,0.1,0,1,0,NA,herb
M_ALT_A3,M_ALT,Elymus repens s. str.,Elymus repens s. str.,0,0,no,SPE,Elymus,4,0,0,0,NA,grass
M_ALT_A3,M_ALT,Festuca arundinacea,Festuca arundinacea,0,0,no,SPE,Festuca,37.5,0,0,0,*,grass
M_ALT_A3,M_ALT,Galium mollugo agg.,Galium mollugo agg.,0,1,no,AGG,Galium,2,0,0,0,*,herb
M_ALT_A3,M_ALT,Myosotis ramosissima,Myosotis ramosissima,1,1,no,SPE,Myosotis,0.1,0,1,0,*,herb
M_ALT_A3,M_ALT,Poa angustifolia,Poa pratensis agg.,1,1,no,SPE,Poa pratensis agg.,10,0,1,0,*,grass
M_ALT_A3,M_ALT,Rumex acetosa,Rumex acetosa,1,1,no,SPE,Rumex,0.1,1,1,0,*,herb
M_ALT_A3,M_ALT,Valerianella locusta,Valerianella locusta,1,1,no,SPE,Valerianella,2,0,1,0,*,herb
