id.site,name.plant.agg,cover.mean.agg,site.type,rest.meth
M_ALT,Alopecurus pratensis,1.125,negative,NA
M_ALT,Anthriscus sylvestris agg.,0.025,negative,NA
M_ALT,Arrhenatherum elatius,19.375,negative,NA
M_ALT,Capsella bursa-pastoris,0.025,negative,NA
M_ALT,Cerastium fontanum agg.,0.025,negative,NA
M_ALT,Dactylis glomerata agg.,6.5,negative,NA
M_ALT,Draba verna agg.,0.025,negative,NA
M_ALT,Elymus repens s. str.,4.5,negative,NA
M_ALT,Festuca arundinacea,35,negative,NA
M_ALT,Festuca pratensis s. str.,0.125,negative,NA
M_ALT,Galium mollugo agg.,0.5,negative,NA
M_ALT,Geranium pratense,0.025,negative,NA
M_ALT,Lepidium draba,5,negative,NA
M_ALT,Myosotis ramosissima,0.2,negative,NA
M_ALT,Poa pratensis agg.,6,negative,NA
M_ALT,Rumex acetosa,0.025,negative,NA
M_ALT,Rumex crispus,0.025,negative,NA
M_ALT,Stellaria media agg.,0.025,negative,NA
M_ALT,Valerianella locusta,3.625,negative,NA
M_ALT,Veronica arvensis,0.775,negative,NA
M_ALT,Vicia tetrasperma agg.,0.05,negative,NA
M_ASE,Achillea millefolium agg.,2,restored,res
M_ASE,Alopecurus myosuroides,0.775,restored,res
M_ASE,Anthemis tinctoria agg.,6.625,restored,res
M_ASE,Anthoxanthum odoratum agg.,2.25,restored,res
M_ASE,Anthriscus caucalis,0.025,restored,res
M_ASE,Arrhenatherum elatius,11,restored,res
M_ASE,Bromus erectus,10.375,restored,res
M_ASE,Bromus sterilis,15,restored,res
M_ASE,Carduus acanthoides,0.15,restored,res
M_ASE,Centaurea jacea agg.,2.5,restored,res
M_ASE,Cerastium fontanum agg.,0.125,restored,res
M_ASE,Conium maculatum,0.5,restored,res
M_ASE,Crepis,2.5,restored,res
M_ASE,Cynosurus cristatus,0.025,restored,res
M_ASE,Dactylis glomerata agg.,2.625,restored,res
M_ASE,Daucus carota,2.625,restored,res
M_ASE,Descurainia sophia,1,restored,res
M_ASE,Elymus repens s. str.,0.125,restored,res
M_ASE,Erysimum cheiranthoides,0.5,restored,res
M_ASE,Euphorbia helioscopia,0.25,restored,res
M_ASE,Falcaria vulgaris,0.5,restored,res
M_ASE,Festuca rubra agg.,1.75,restored,res
M_ASE,Galium aparine agg.,0.025,restored,res
M_ASE,Galium mollugo agg.,1.025,restored,res
M_ASE,Geranium pusillum,0.07500000000000001,restored,res
M_ASE,Knautia arvensis agg.,0.525,restored,res
M_ASE,Lactuca serriola,0.05,restored,res
M_ASE,Lappula squarrosa,0.125,restored,res
M_ASE,Leucanthemum vulgare agg.,0.675,restored,res
M_ASE,Lotus corniculatus agg.,0.125,restored,res
M_ASE,Medicago lupulina,0.375,restored,res
M_ASE,Myosotis arvensis,0.025,restored,res
M_ASE,Onopordum acanthium,0.125,restored,res
M_ASE,Papaver dubium s. l.,0.125,restored,res
M_ASE,Papaver rhoeas,0.125,restored,res
M_ASE,Plantago lanceolata,1.525,restored,res
M_ASE,Poa pratensis agg.,11,restored,res
M_ASE,Prunella vulgaris,0.125,restored,res
M_ASE,Rumex crispus,0.5,restored,res
M_ASE,Sanguisorba minor s. l.,2,restored,res
M_ASE,Scabiosa,0.025,restored,res
M_ASE,Silene dioica,0.25,restored,res
M_ASE,Silene vulgaris,1.15,restored,res
M_ASE,Sisymbrium loeselii,2,restored,res
M_ASE,Sonchus asper,0.025,restored,res
M_ASE,Stellaria media agg.,1.25,restored,res
M_ASE,Veronica arvensis,0.675,restored,res
M_ASE,Viola tricolor agg.,0.275,restored,res
M_BAD,Achillea millefolium agg.,0.05,restored,mga
M_BAD,Agrimonia eupatoria,0.125,restored,mga
M_BAD,Alyssum alyssoides,0.525,restored,mga
M_BAD,Asperula cynanchica,0.25,restored,mga
M_BAD,Astragalus danicus,0.125,restored,mga
M_BAD,Astragalus exscapus,2.25,restored,mga
M_BAD,Brachypodium pinnatum agg.,2,restored,mga
M_BAD,Bromus erectus,0.25,restored,mga
M_BAD,Bromus sterilis,0.125,restored,mga
M_BAD,Bupleurum falcatum,0.3,restored,mga
M_BAD,Carlina vulgaris agg.,0.025,restored,mga
M_BAD,Centaurea paniculata agg.,0.15,restored,mga
M_BAD,Cerastium,0.125,restored,mga
M_BAD,Cirsium acaulon,1,restored,mga
M_BAD,Cornus sanguinea,0.625,restored,mga
M_BAD,Crataegus,2,restored,mga
M_BAD,Daucus carota,0.025,restored,mga
M_BAD,Erodium cicutarium agg.,0.025,restored,mga
M_BAD,Euphorbia cyparissias,0.75,restored,mga
M_BAD,Falcaria vulgaris,0.025,restored,mga
M_BAD,Festuca ovina agg.,7.425,restored,mga
M_BAD,Fragaria viridis,3.025,restored,mga
